Date,Close,FTSE 100,Date,Close,Dow Jones ,Date,Close,CAC 40,Date,Close,Nikkei 225,Date,Close,FTSE MIB,Date,Close,SZSE Component Index,Date,Close,DAX,Date,Close,EURONEXT 100
2/19/2020 16:30:00,7457.02,7457.02,2/21/2020 16:00:00,28992.41,28992.41,2/19/2020 17:30:00,6111.24,6111.24,2/26/2020 15:00:00,22426.19,22426.19,2/19/2020 17:30:00,25477.55,25477.55,2/27/2020 15:00:00,11534.02,11534.02,2/19/2020 20:00:00,13789,13789,2/19/2020 17:30:00,1182.1,1182.1
2/20/2020 16:30:00,7436.64,7436.64,2/24/2020 16:00:00,27960.8,27960.8,2/20/2020 17:30:00,6062.3,6062.3,2/27/2020 15:00:00,21948.23,21948.23,2/20/2020 17:30:00,25080.16,25080.16,2/28/2020 15:00:00,10980.78,10980.78,2/20/2020 20:00:00,13664,13664,2/20/2020 17:30:00,1171.09,1171.09
2/21/2020 16:30:00,7403.92,7403.92,2/25/2020 16:00:00,27081.36,27081.36,2/21/2020 17:30:00,6029.72,6029.72,2/28/2020 15:00:00,21142.96,21142.96,2/21/2020 17:30:00,24773.15,24773.15,3/2/2020 15:00:00,11381.76,11381.76,2/21/2020 20:00:00,13579.33,13579.33,2/21/2020 17:30:00,1164.17,1164.17
2/24/2020 16:30:00,7156.83,7156.83,2/26/2020 16:00:00,26957.59,26957.59,2/24/2020 17:30:00,5791.87,5791.87,3/2/2020 15:00:00,21344.08,21344.08,2/24/2020 17:30:00,23427.19,23427.19,3/3/2020 15:00:00,11484.21,11484.21,2/24/2020 20:00:00,13035.24,13035.24,2/24/2020 17:30:00,1120.45,1120.45
2/25/2020 16:30:00,7017.88,7017.88,2/27/2020 16:00:00,25766.64,25766.64,2/25/2020 17:30:00,5679.68,5679.68,3/3/2020 15:00:00,21082.73,21082.73,2/25/2020 17:30:00,23090.44,23090.44,3/4/2020 15:00:00,11493.02,11493.02,2/25/2020 20:00:00,12790.49,12790.49,2/25/2020 17:30:00,1099.27,1099.27
2/26/2020 16:30:00,7042.47,7042.47,2/28/2020 16:00:00,25409.36,25409.36,2/26/2020 17:30:00,5684.55,5684.55,3/4/2020 15:00:00,21100.06,21100.06,2/26/2020 17:30:00,23422.54,23422.54,3/5/2020 15:00:00,11711.37,11711.37,2/26/2020 20:00:00,12774.88,12774.88,2/26/2020 17:30:00,1099.41,1099.41
2/27/2020 16:30:00,6796.4,6796.4,3/2/2020 16:00:00,26703.32,26703.32,2/27/2020 17:30:00,5495.6,5495.6,3/5/2020 15:00:00,21329.12,21329.12,2/27/2020 17:30:00,22799.37,22799.37,3/6/2020 15:00:00,11582.82,11582.82,2/27/2020 20:00:00,12367.46,12367.46,2/27/2020 17:30:00,1059.36,1059.36
2/28/2020 16:30:00,6580.61,6580.61,3/3/2020 16:00:00,25917.41,25917.41,2/28/2020 17:30:00,5309.9,5309.9,3/6/2020 15:00:00,20749.75,20749.75,2/28/2020 17:30:00,21984.21,21984.21,3/9/2020 15:00:00,11108.55,11108.55,2/28/2020 20:00:00,11890.35,11890.35,2/28/2020 17:30:00,1021.98,1021.98
3/2/2020 16:30:00,6654.89,6654.89,3/4/2020 16:00:00,27090.86,27090.86,3/2/2020 17:30:00,5333.52,5333.52,3/9/2020 15:00:00,19698.76,19698.76,3/2/2020 17:30:00,21655.09,21655.09,3/10/2020 15:00:00,11403.47,11403.47,3/2/2020 20:00:00,11857.87,11857.87,3/2/2020 17:30:00,1027.68,1027.68
3/3/2020 16:30:00,6718.2,6718.2,3/5/2020 16:00:00,26121.28,26121.28,3/3/2020 17:30:00,5393.17,5393.17,3/10/2020 15:00:00,19867.12,19867.12,3/3/2020 17:30:00,21748.2,21748.2,3/11/2020 15:00:00,11200.05,11200.05,3/3/2020 20:00:00,11985.39,11985.39,3/3/2020 17:30:00,1039.95,1039.95
3/4/2020 16:30:00,6815.59,6815.59,3/6/2020 16:00:00,25864.78,25864.78,3/4/2020 17:30:00,5464.89,5464.89,3/11/2020 15:00:00,19416.06,19416.06,3/4/2020 17:30:00,21946.03,21946.03,3/12/2020 15:00:00,10941.01,10941.01,3/4/2020 20:00:00,12127.69,12127.69,3/4/2020 17:30:00,1053.73,1053.73
3/5/2020 16:30:00,6705.43,6705.43,3/9/2020 16:00:00,23851.02,23851.02,3/5/2020 17:30:00,5361.1,5361.1,3/12/2020 15:00:00,18559.63,18559.63,3/5/2020 17:30:00,21554.88,21554.88,3/13/2020 15:00:00,10831.13,10831.13,3/5/2020 20:00:00,11944.72,11944.72,3/5/2020 17:30:00,1036.08,1036.08
3/6/2020 16:30:00,6462.55,6462.55,3/10/2020 16:00:00,25018.16,25018.16,3/6/2020 17:30:00,5139.11,5139.11,3/13/2020 15:00:00,17431.05,17431.05,3/6/2020 17:30:00,20799.89,20799.89,3/16/2020 15:00:00,10253.29,10253.29,3/6/2020 20:00:00,11541.87,11541.87,3/6/2020 17:30:00,994.77,994.77
