Date,restaurant,delivery,isPartial,Time
2020-01-25,96,24,False,22:00:00
2020-01-25,97,28,False,23:00:00
2020-01-26,87,29,False,00:00:00
2020-01-26,74,27,False,01:00:00
2020-01-26,64,24,False,02:00:00
2020-01-26,56,23,False,03:00:00
2020-01-26,49,21,False,04:00:00
2020-01-26,45,20,False,05:00:00
2020-01-26,43,17,False,06:00:00
2020-01-26,46,15,False,07:00:00
2020-01-26,50,14,False,08:00:00
2020-01-26,55,13,False,09:00:00
2020-01-26,62,14,False,10:00:00
2020-01-26,63,12,False,11:00:00
2020-01-26,58,12,False,12:00:00
2020-01-26,57,12,False,13:00:00
2020-01-26,60,13,False,14:00:00
2020-01-26,66,14,False,15:00:00
2020-01-26,74,16,False,16:00:00
2020-01-26,77,17,False,17:00:00
2020-01-26,77,17,False,18:00:00
2020-01-26,64,15,False,19:00:00
2020-01-26,53,13,False,20:00:00
2020-01-26,58,17,False,21:00:00
2020-01-26,62,21,False,22:00:00
2020-01-26,63,24,False,23:00:00
2020-01-27,58,24,False,00:00:00
2020-01-27,50,22,False,01:00:00
2020-01-27,45,21,False,02:00:00
2020-01-27,40,20,False,03:00:00
2020-01-27,38,18,False,04:00:00
2020-01-27,33,16,False,05:00:00
2020-01-27,33,13,False,06:00:00
2020-01-27,36,14,False,07:00:00
2020-01-27,40,12,False,08:00:00
2020-01-27,45,12,False,09:00:00
2020-01-27,49,12,False,10:00:00
2020-01-27,46,12,False,11:00:00
2020-01-27,42,15,False,12:00:00
2020-01-27,40,18,False,13:00:00
2020-01-27,43,29,False,14:00:00
2020-01-27,49,27,False,15:00:00
2020-01-27,55,23,False,16:00:00
2020-01-27,62,17,False,17:00:00
2020-01-27,62,27,False,18:00:00
2020-01-27,59,15,False,19:00:00
2020-01-27,57,16,False,20:00:00
2020-01-27,58,30,False,21:00:00
2020-01-27,58,24,False,22:00:00
2020-01-27,58,65,False,23:00:00
2020-01-28,53,31,False,00:00:00
2020-01-28,47,21,False,01:00:00
2020-01-28,45,22,False,02:00:00
2020-01-28,39,18,False,03:00:00
2020-01-28,36,17,False,04:00:00
2020-01-28,33,16,False,05:00:00
2020-01-28,34,14,False,06:00:00
2020-01-28,38,17,False,07:00:00
2020-01-28,42,12,False,08:00:00
2020-01-28,46,12,False,09:00:00
2020-01-28,55,12,False,10:00:00
2020-01-28,48,12,False,11:00:00
2020-01-28,43,11,False,12:00:00
2020-01-28,41,12,False,13:00:00
2020-01-28,43,13,False,14:00:00
2020-01-28,49,14,False,15:00:00
2020-01-28,57,15,False,16:00:00
2020-01-28,63,16,False,17:00:00
2020-01-28,63,15,False,18:00:00
2020-01-28,60,15,False,19:00:00
2020-01-28,57,15,False,20:00:00
2020-01-28,58,17,False,21:00:00
2020-01-28,61,20,False,22:00:00
2020-01-28,60,23,False,23:00:00
2020-01-29,56,23,False,00:00:00
2020-03-11,0,0,False,00:00:00
2020-03-11,0,0,False,01:00:00
2020-03-11,0,0,False,02:00:00
2020-03-11,0,0,False,03:00:00
2020-03-11,0,0,False,04:00:00
2020-03-11,0,0,False,05:00:00
2020-03-11,0,0,False,06:00:00
2020-03-11,0,0,False,07:00:00
2020-03-11,0,0,False,08:00:00
2020-03-11,0,0,False,09:00:00
2020-03-11,0,0,False,10:00:00
2020-03-11,0,0,False,11:00:00
2020-03-11,0,0,False,12:00:00
2020-03-11,0,0,False,13:00:00
2020-03-11,0,0,False,14:00:00
2020-03-11,0,0,False,15:00:00
2020-03-11,0,0,False,16:00:00
2020-03-11,0,0,False,17:00:00
2020-03-11,0,0,False,18:00:00
2020-03-11,0,0,False,19:00:00
2020-03-11,0,0,False,20:00:00
2020-03-11,0,0,False,21:00:00
2020-03-11,0,0,False,22:00:00
2020-03-11,0,0,False,23:00:00
2020-03-12,0,0,False,00:00:00
2020-03-12,0,0,False,01:00:00
2020-03-12,0,0,False,02:00:00
2020-03-12,0,0,False,03:00:00
2020-03-12,0,0,False,04:00:00
2020-03-12,0,0,False,05:00:00
2020-03-12,0,0,False,06:00:00
2020-03-12,0,0,False,07:00:00
2020-03-12,0,0,False,08:00:00
2020-03-12,0,0,False,09:00:00
2020-03-12,0,0,False,10:00:00
2020-03-12,0,0,False,11:00:00
2020-03-12,0,0,False,12:00:00
2020-03-12,0,0,False,13:00:00
2020-03-12,0,0,False,14:00:00
2020-03-12,0,0,False,15:00:00
2020-03-12,0,0,False,16:00:00
2020-03-12,0,0,False,17:00:00
2020-03-12,0,0,False,18:00:00
2020-03-12,0,0,False,19:00:00
2020-03-12,0,0,False,20:00:00
2020-03-12,0,0,False,21:00:00
2020-03-12,0,0,False,22:00:00
2020-03-12,0,0,False,23:00:00
2020-03-13,0,0,False,00:00:00
2020-03-13,0,0,False,01:00:00
2020-03-13,0,0,False,02:00:00
2020-03-13,0,0,False,03:00:00
2020-03-13,0,0,False,04:00:00
2020-03-13,0,0,False,05:00:00
2020-03-13,0,0,False,06:00:00
